"","V1","V2","V3","V4"
"1",0.109083191850594,0.630305602716469,0.0343803056027165,0.226230899830221
"2",0.0766533066132264,0.584669338677355,0.0295591182364729,0.309118236472946
"3",0.107594936708861,0.550632911392405,0.191139240506329,0.150632911392405
"4",0.11875,0.547916666666667,0.09375,0.239583333333333
"5",0.169296116504854,0.245752427184466,0.0819174757281553,0.503033980582524
"6",0.102688172043011,0.58010752688172,0.0403225806451613,0.276881720430108
"7",0.085480093676815,0.364168618266979,0.0620608899297424,0.488290398126464
"8",0.110850636302746,0.623241795043536,0.147689216342934,0.118218352310784
"9",0.156927426955702,0.430254476908577,0.0560791705937795,0.356738925541942
"10",0.0881849315068493,0.690924657534247,0.105308219178082,0.115582191780822
"11",0.742541152263374,0.0676440329218107,0.0588991769547325,0.130915637860082
"12",0.659317211948791,0.101706970128023,0.0874822190611664,0.15149359886202
"13",0.785087719298246,0.0628654970760234,0.100877192982456,0.0511695906432749
"14",0.799630086313194,0.0659679408138101,0.0672009864364981,0.0672009864364981
"15",0.587591240875912,0.0576642335766423,0.111678832116788,0.243065693430657
"16",0.626961483594864,0.131954350927247,0.0977175463623395,0.143366619115549
"17",0.720389805097451,0.0907046476761619,0.075712143928036,0.113193403298351
"18",0.133428300094967,0.492402659069326,0.306267806267806,0.0679012345679012
"19",0.237060041407867,0.0577639751552795,0.62712215320911,0.0780538302277433
"20",0.105464159811986,0.0525851938895417,0.79524089306698,0.0467097532314924
"21",0.101953125,0.087109375,0.726953125,0.083984375
"22",0.158832448824867,0.0443517816527672,0.759287338893101,0.0375284306292646
"23",0.114145658263305,0.0791316526610644,0.129551820728291,0.677170868347339
"24",0.120573355817875,0.430860033726813,0.051433389544688,0.397133220910624
"25",0.175576519916143,0.262578616352201,0.0361635220125786,0.525681341719078
"26",0.1895,0.1835,0.0695,0.5575
"27",0.162216288384513,0.143524699599466,0.0567423230974633,0.637516688918558
"28",0.159871244635193,0.179184549356223,0.0976394849785408,0.563304721030043
"29",0.139767591994835,0.100387346675274,0.0242091672046482,0.735635894125242
"30",0.371996996996997,0.318693693693694,0.0296546546546547,0.279654654654655
"31",0.139853747714808,0.0703839122486289,0.0776965265082267,0.712065813528336
"32",0.166847826086957,0.10054347826087,0.0657608695652174,0.666847826086956
"33",0.213105726872247,0.456497797356828,0.0401982378854626,0.290198237885463
"34",0.255285412262156,0.471987315010571,0.0597251585623679,0.213002114164905
"35",0.0636818687430478,0.0586763070077864,0.843437152391546,0.0342046718576196
"36",0.103125,0.0677083333333333,0.767708333333333,0.0614583333333333
"37",0.0784883720930233,0.0804263565891473,0.791666666666667,0.0494186046511628
"38",0.0702099737532808,0.204068241469816,0.702755905511811,0.0229658792650919
"39",0.0645569620253165,0.0645569620253165,0.831645569620253,0.0392405063291139
"40",0.0549921996879875,0.0370514820592824,0.878705148205928,0.0292511700468019
"41",0.0625,0.0743110236220473,0.829232283464567,0.0339566929133858
